dry_kg,prop_kg,wet_kg,prop_dry_ratio,n_engines,engine,propellant,propellant_key,propellant_estimated,anchor,thrust_mN_per_kg,power_W_per_kg,thrust_mN_per_W,buildable,build_why,lifetime_ok,lifetime_why,prop_per_thruster_kg,throughput_margin_kg,mission_ignitions,payload_capacity_kg,min_dry_kg,eol_factor,belt_days,bol_power_W,array_kg,pcdu_kg,thruster_sys_kg,tank_kg,fixed_bus_kg,build_cost_musd,success,why,margin_kms,dv_short_kms,prop_margin_kg,capability_kms,escape_dv_kms,cruise_dv_kms,total_dv_kms,spiral_tof_days,cruise_tof_days,total_tof_days,power_limited,power_required_W,power_available_end_W,n_converged,elapsed_s
650.0,300.0,950.0,0.4615,1,nstar,Xenon,xenon,False,False,0.0976,2.4474,0.0399,True,fits - 254 kg for payload + margin; lifetime caution - propellant throughput 300 kg/thruster exceeds the 235 kg qualified (65 kg over),False,propellant throughput 300 kg/thruster exceeds the 235 kg qualified (65 kg over),300.0,-65.0,0.0,254.18,240.04,0.98,0.0,10300.0,110.03,10.3,8.3,20.19,84.5,62.89,True,ok,5.10914785965,0.0,118.508086946,11.6371989772,0.0,6.52805111756,6.52805111756,0.0,1332.97070728,1332.97070728,False,0.0,0.0,1,119.3
700.0,300.0,1000.0,0.4286,1,nstar,Xenon,xenon,False,False,0.0927,2.325,0.0399,True,fits - 285 kg for payload + margin; lifetime caution - propellant throughput 300 kg/thruster exceeds the 235 kg qualified (65 kg over),False,propellant throughput 300 kg/thruster exceeds the 235 kg qualified (65 kg over),300.0,-65.0,0.0,285.18,240.04,0.98,0.0,10300.0,110.03,10.3,8.3,20.19,91.0,66.45,True,ok,4.36024383812,0.0,107.837736085,10.937577882,0.0,6.57733404386,6.57733404386,0.0,1305.85761657,1305.85761657,False,0.0,0.0,1,121.4
750.0,300.0,1050.0,0.4,1,nstar,Xenon,xenon,False,False,0.0883,2.2143,0.0399,True,fits - 316 kg for payload + margin; lifetime caution - propellant throughput 300 kg/thruster exceeds the 235 kg qualified (65 kg over),False,propellant throughput 300 kg/thruster exceeds the 235 kg qualified (65 kg over),300.0,-65.0,0.0,316.18,240.04,0.98,0.0,10300.0,110.03,10.3,8.3,20.19,97.5,70.02,True,ok,3.55868630272,0.0,92.6910120843,10.3180538911,0.0,6.75936758839,6.75936758839,0.0,1368.00449376,1368.00449376,False,0.0,0.0,1,116.8
800.0,300.0,1100.0,0.375,1,nstar,Xenon,xenon,False,False,0.0843,2.1136,0.0399,True,fits - 347 kg for payload + margin; lifetime caution - propellant throughput 300 kg/thruster exceeds the 235 kg qualified (65 kg over),False,propellant throughput 300 kg/thruster exceeds the 235 kg qualified (65 kg over),300.0,-65.0,0.0,347.18,240.04,0.98,0.0,10300.0,110.03,10.3,8.3,20.19,104.0,73.58,True,ok,3.08417013323,0.0,84.6452037759,9.76550931067,0.0,6.68133917744,6.68133917744,0.0,1368.01557205,1368.01557205,False,0.0,0.0,1,86.2
850.0,300.0,1150.0,0.3529,1,nstar,Xenon,xenon,False,False,0.0806,2.0217,0.0399,True,fits - 378 kg for payload + margin; lifetime caution - propellant throughput 300 kg/thruster exceeds the 235 kg qualified (65 kg over),False,propellant throughput 300 kg/thruster exceeds the 235 kg qualified (65 kg over),300.0,-65.0,0.0,378.18,240.04,0.98,0.0,10300.0,110.03,10.3,8.3,20.19,110.5,77.14,True,ok,2.16536545091,0.0,62.4912587632,9.2695622009,0.0,7.10419674999,7.10419674999,0.0,1367.68753374,1367.68753374,False,0.0,0.0,1,93.5
650.0,350.0,1000.0,0.5385,1,nstar,Xenon,xenon,False,False,0.0927,2.325,0.0399,True,fits - 252 kg for payload + margin; lifetime caution - propellant throughput 350 kg/thruster exceeds the 235 kg qualified (115 kg over),False,propellant throughput 350 kg/thruster exceeds the 235 kg qualified (115 kg over),350.0,-115.0,0.0,251.94,243.64,0.98,0.0,10300.0,110.03,10.3,8.3,22.42,84.5,63.44,True,ok,6.63279404351,0.0,157.837736085,13.2101280874,0.0,6.57733404386,6.57733404386,0.0,1305.85761657,1305.85761657,False,0.0,0.0,1,122.9
700.0,350.0,1050.0,0.5,1,nstar,Xenon,xenon,False,False,0.0883,2.2143,0.0399,True,fits - 283 kg for payload + margin; lifetime caution - propellant throughput 350 kg/thruster exceeds the 235 kg qualified (115 kg over),False,propellant throughput 350 kg/thruster exceeds the 235 kg qualified (115 kg over),350.0,-115.0,0.0,282.94,243.64,0.98,0.0,10300.0,110.03,10.3,8.3,22.42,91.0,67.0,True,ok,5.674379928,0.0,142.691012084,12.4337475164,0.0,6.75936758839,6.75936758839,0.0,1368.00449376,1368.00449376,False,0.0,0.0,1,119.0
750.0,350.0,1100.0,0.4667,1,nstar,Xenon,xenon,False,False,0.0843,2.1136,0.0399,True,fits - 314 kg for payload + margin; lifetime caution - propellant throughput 350 kg/thruster exceeds the 235 kg qualified (115 kg over),False,propellant throughput 350 kg/thruster exceeds the 235 kg qualified (115 kg over),350.0,-115.0,0.0,313.94,243.64,0.98,0.0,10300.0,110.03,10.3,8.3,22.42,97.5,70.56,True,ok,5.06326934758,0.0,134.645203776,11.744608525,0.0,6.68133917744,6.68133917744,0.0,1368.01557205,1368.01557205,False,0.0,0.0,1,97.6
800.0,350.0,1150.0,0.4375,1,nstar,Xenon,xenon,False,False,0.0806,2.0217,0.0399,True,fits - 345 kg for payload + margin; lifetime caution - propellant throughput 350 kg/thruster exceeds the 235 kg qualified (115 kg over),False,propellant throughput 350 kg/thruster exceeds the 235 kg qualified (115 kg over),350.0,-115.0,0.0,344.94,243.64,0.98,0.0,10300.0,110.03,10.3,8.3,22.42,104.0,74.12,True,ok,4.02444339836,0.0,112.491258763,11.1286401483,0.0,7.10419674999,7.10419674999,0.0,1367.68753374,1367.68753374,False,0.0,0.0,1,101.1
850.0,350.0,1200.0,0.4118,1,nstar,Xenon,xenon,False,False,0.0772,1.9375,0.0399,True,fits - 376 kg for payload + margin; lifetime caution - propellant throughput 350 kg/thruster exceeds the 235 kg qualified (115 kg over),False,propellant throughput 350 kg/thruster exceeds the 235 kg qualified (115 kg over),350.0,-115.0,0.0,375.94,243.64,0.98,0.0,10300.0,110.03,10.3,8.3,22.42,110.5,77.69,True,ok,3.4285324689,0.0,101.373469642,10.5746695689,0.0,7.14613710005,7.14613710005,0.0,1360.00445707,1360.00445707,False,0.0,0.0,1,96.2
